"year","ssp126_global_cm","ssp245_global_cm","ssp585_global_cm","subsidence_component_cm","ssp126_relative_cm","ssp245_relative_cm","ssp585_relative_cm","ssp126_lo80","ssp126_hi80","ssp126_lo95","ssp126_hi95","ssp245_lo80","ssp245_hi80","ssp245_lo95","ssp245_hi95","ssp585_lo80","ssp585_hi80","ssp585_lo95","ssp585_hi95"
2040,14.55,18.45,24.45,17.425,31.975,35.875,41.875,31.0012055076633,32.9487944923367,30.4857098421652,33.4642901578348,34.9012055076633,36.8487944923367,34.3857098421652,37.3642901578348,40.9012055076633,42.8487944923367,40.3857098421652,43.3642901578348
2041,14.845,19.005,25.405,18.5866666666667,33.4316666666667,37.5916666666667,43.9916666666667,32.4279022792795,34.4354310540539,31.8965415096803,34.9667918236531,36.5879022792795,38.5954310540539,36.0565415096803,39.1267918236531,42.9879022792795,44.9954310540539,42.4565415096803,45.5267918236531
2042,15.14,19.56,26.36,19.7483333333333,34.8883333333333,39.3083333333333,46.1083333333333,33.8554682998133,35.9211983668534,33.3087025786943,36.4679640879724,38.2754682998133,40.3411983668534,37.7287025786943,40.8879640879724,45.0754682998133,47.1411983668534,44.5287025786943,47.6879640879724
2043,15.435,20.115,27.315,20.91,36.345,41.025,48.225,35.283832054032,37.406167945968,34.7220836760971,37.9679163239029,39.963832054032,42.086167945968,39.4020836760971,42.6479163239029,47.163832054032,49.286167945968,46.6020836760971,49.8479163239029
2044,15.73,20.67,28.27,22.0716666666667,37.8016666666667,42.7416666666667,50.3416666666667,36.7129313261768,38.8904020071565,36.1365896510967,39.4667436822366,41.6529313261768,43.8304020071565,41.0765896510967,44.4067436822367,49.2529313261768,51.4304020071565,48.6765896510967,52.0067436822367
2045,16.025,21.225,29.225,23.2333333333333,39.2583333333333,44.4583333333333,52.4583333333333,38.1427115902174,40.3739550764493,37.5521371133257,40.964529553341,43.3427115902174,45.5739550764493,42.7521371133257,46.164529553341,51.3427115902174,53.5739550764493,50.7521371133257,54.164529553341
2046,16.32,21.78,30.18,24.395,40.715,46.175,54.575,39.5731247415787,41.8568752584213,38.9686524931855,42.4613475068146,45.0331247415787,47.3168752584213,44.4286524931854,47.9213475068145,53.4331247415787,55.7168752584213,52.8286524931855,56.3213475068146
2047,16.615,22.335,31.135,25.5566666666667,42.1716666666667,47.8916666666667,56.6916666666667,41.0041280857725,43.3392052475608,40.3860704950908,43.9572628382425,46.7241280857725,49.0592052475608,46.1060704950908,49.6772628382425,55.5241280857725,57.8592052475608,54.9060704950908,58.4772628382425
2048,16.91,22.89,32.09,26.7183333333333,43.6283333333333,49.6083333333333,58.8083333333333,42.4356835230546,44.820983143612,41.8043328505112,45.4523338161555,48.4156835230546,50.800983143612,47.7843328505112,51.4323338161555,57.6156835230546,60.000983143612,56.9843328505112,60.6323338161555
2049,17.205,23.445,33.045,27.88,45.085,51.325,60.925,43.8677568845792,46.3022431154208,43.2233873027065,46.9466126972935,50.1077568845792,52.5422431154208,49.4633873027065,53.1866126972935,59.7077568845792,62.1422431154208,59.0633873027065,62.7866126972935
